127.0.0.1 - - [01/Nov/2016:09:32:41 -0200] "GET / HTTP/1.1" 404 994
10.162.114.154 - - [01/Nov/2016:09:36:17 -0200] "GET /livraria/javax.faces.resource/images/ui-icons_666666_256x240.png.xhtml?ln=primefaces-vader HTTP/1.1" 200 4369
10.162.114.154 - - [01/Nov/2016:09:36:17 -0200] "GET /livraria/javax.faces.resource/images/ui-bg_highlight-hard_15_888888_1x100.png.xhtml?ln=primefaces-vader HTTP/1.1" 200 95
10.162.114.154 - - [01/Nov/2016:09:36:17 -0200] "GET /livraria/javax.faces.resource/fa/fontawesome-webfont.woff2.xhtml?ln=primefaces&v=5.3?v=4.3.0 HTTP/1.1" 200 56841
10.162.114.154 - - [01/Nov/2016:09:36:19 -0200] "GET /livraria/javax.faces.resource/images/ui-icons_c98000_256x240.png.xhtml?ln=primefaces-vader HTTP/1.1" 200 5355
10.162.114.154 - - [01/Nov/2016:09:36:24 -0200] "GET /livraria/javax.faces.resource/images/ui-icons_f29a00_256x240.png.xhtml?ln=primefaces-vader HTTP/1.1" 200 4369
10.162.114.154 - - [01/Nov/2016:09:36:25 -0200] "POST /livraria/livro.xhtml HTTP/1.1" 200 147
10.162.114.154 - - [01/Nov/2016:09:36:25 -0200] "GET /livraria/livro.xhtml HTTP/1.1" 200 35048
10.162.114.154 - - [01/Nov/2016:09:36:37 -0200] "GET /livraria/javax.faces.resource/theme.css.xhtml?ln=primefaces-sunny HTTP/1.1" 200 18560
10.162.114.154 - - [01/Nov/2016:09:36:37 -0200] "POST /livraria/livro.xhtml HTTP/1.1" 200 465
10.162.114.154 - - [01/Nov/2016:09:36:38 -0200] "GET /livraria/javax.faces.resource/images/ui-bg_highlight-soft_100_feeebd_1x100.png.xhtml?ln=primefaces-sunny HTTP/1.1" 200 108
10.162.114.154 - - [01/Nov/2016:09:36:38 -0200] "GET /livraria/javax.faces.resource/images/ui-bg_gloss-wave_45_817865_500x100.png.xhtml?ln=primefaces-sunny HTTP/1.1" 200 3971
10.162.114.154 - - [01/Nov/2016:09:36:38 -0200] "GET /livraria/javax.faces.resource/images/ui-bg_gloss-wave_60_fece2f_500x100.png.xhtml?ln=primefaces-sunny HTTP/1.1" 200 3512
10.162.114.154 - - [01/Nov/2016:09:36:38 -0200] "GET /livraria/javax.faces.resource/images/ui-bg_inset-soft_30_ffffff_1x100.png.xhtml?ln=primefaces-sunny HTTP/1.1" 200 100
10.162.114.154 - - [01/Nov/2016:09:36:38 -0200] "GET /livraria/javax.faces.resource/images/ui-icons_3d3d3d_256x240.png.xhtml?ln=primefaces-sunny HTTP/1.1" 200 4369
10.162.114.154 - - [01/Nov/2016:09:36:38 -0200] "GET /livraria/javax.faces.resource/images/ui-bg_gloss-wave_70_ffdd57_500x100.png.xhtml?ln=primefaces-sunny HTTP/1.1" 200 3122
10.162.114.154 - - [01/Nov/2016:09:36:38 -0200] "GET /livraria/javax.faces.resource/images/ui-icons_bd7b00_256x240.png.xhtml?ln=primefaces-sunny HTTP/1.1" 200 4369
10.162.114.154 - - [01/Nov/2016:09:36:39 -0200] "GET /livraria/javax.faces.resource/images/ui-bg_gloss-wave_90_fff9e5_500x100.png.xhtml?ln=primefaces-sunny HTTP/1.1" 200 2257
10.162.114.154 - - [01/Nov/2016:09:36:42 -0200] "GET /livraria/javax.faces.resource/theme.css.xhtml?ln=primefaces-afterdark HTTP/1.1" 200 18913
10.162.114.154 - - [01/Nov/2016:09:36:42 -0200] "POST /livraria/livro.xhtml HTTP/1.1" 200 465
10.162.114.154 - - [01/Nov/2016:09:36:42 -0200] "GET /livraria/javax.faces.resource/images/ui-icons-light.png.xhtml?ln=primefaces-afterdark HTTP/1.1" 200 22713
10.162.114.154 - - [01/Nov/2016:09:36:43 -0200] "GET /livraria/javax.faces.resource/theme.css.xhtml?ln=primefaces-afternoon HTTP/1.1" 200 19244
