127.0.0.1 - - [19/Oct/2016:09:08:44 -0200] "GET / HTTP/1.1" 404 994
10.162.114.154 - - [19/Oct/2016:09:10:45 -0200] "GET /livraria/javax.faces.resource/charts/charts.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
10.162.114.154 - - [19/Oct/2016:09:10:45 -0200] "GET /livraria/javax.faces.resource/logo.png.xhtml?ln=img HTTP/1.1" 304 -
10.162.114.154 - - [19/Oct/2016:09:10:47 -0200] "GET /livraria/vendas.xhtml HTTP/1.1" 200 4882
10.162.114.154 - - [19/Oct/2016:09:10:47 -0200] "GET /livraria/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
10.162.114.154 - - [19/Oct/2016:09:10:47 -0200] "GET /livraria/javax.faces.resource/fa/font-awesome.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
10.162.114.154 - - [19/Oct/2016:09:10:47 -0200] "GET /livraria/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
10.162.114.154 - - [19/Oct/2016:09:10:47 -0200] "GET /livraria/javax.faces.resource/primefaces.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
10.162.114.154 - - [19/Oct/2016:09:10:47 -0200] "GET /livraria/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
10.162.114.154 - - [19/Oct/2016:09:10:47 -0200] "GET /livraria/javax.faces.resource/primefaces.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
10.162.114.154 - - [19/Oct/2016:09:10:47 -0200] "GET /livraria/javax.faces.resource/charts/charts.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
10.162.114.154 - - [19/Oct/2016:09:10:47 -0200] "GET /livraria/javax.faces.resource/charts/charts.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
10.162.114.154 - - [19/Oct/2016:09:10:47 -0200] "GET /livraria/javax.faces.resource/logo.png.xhtml?ln=img HTTP/1.1" 304 -
10.162.114.154 - - [19/Oct/2016:09:10:48 -0200] "GET /livraria/vendas.xhtml HTTP/1.1" 200 4879
10.162.114.154 - - [19/Oct/2016:09:10:48 -0200] "GET /livraria/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
10.162.114.154 - - [19/Oct/2016:09:10:48 -0200] "GET /livraria/javax.faces.resource/primefaces.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
10.162.114.154 - - [19/Oct/2016:09:10:48 -0200] "GET /livraria/javax.faces.resource/fa/font-awesome.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
10.162.114.154 - - [19/Oct/2016:09:10:48 -0200] "GET /livraria/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
10.162.114.154 - - [19/Oct/2016:09:10:48 -0200] "GET /livraria/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
10.162.114.154 - - [19/Oct/2016:09:10:48 -0200] "GET /livraria/javax.faces.resource/primefaces.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
10.162.114.154 - - [19/Oct/2016:09:10:48 -0200] "GET /livraria/javax.faces.resource/charts/charts.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
10.162.114.154 - - [19/Oct/2016:09:10:48 -0200] "GET /livraria/javax.faces.resource/charts/charts.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
10.162.114.154 - - [19/Oct/2016:09:10:48 -0200] "GET /livraria/javax.faces.resource/logo.png.xhtml?ln=img HTTP/1.1" 304 -
10.162.114.154 - - [19/Oct/2016:09:10:49 -0200] "GET /livraria/vendas.xhtml HTTP/1.1" 200 4882
10.162.114.154 - - [19/Oct/2016:09:10:49 -0200] "GET /livraria/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
10.162.114.154 - - [19/Oct/2016:09:10:49 -0200] "GET /livraria/javax.faces.resource/fa/font-awesome.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
10.162.114.154 - - [19/Oct/2016:09:10:49 -0200] "GET /livraria/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
10.162.114.154 - - [19/Oct/2016:09:10:49 -0200] "GET /livraria/javax.faces.resource/primefaces.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
10.162.114.154 - - [19/Oct/2016:09:10:49 -0200] "GET /livraria/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
10.162.114.154 - - [19/Oct/2016:09:10:49 -0200] "GET /livraria/javax.faces.resource/primefaces.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
10.162.114.154 - - [19/Oct/2016:09:10:49 -0200] "GET /livraria/javax.faces.resource/charts/charts.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
10.162.114.154 - - [19/Oct/2016:09:10:49 -0200] "GET /livraria/javax.faces.resource/charts/charts.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
10.162.114.154 - - [19/Oct/2016:09:10:49 -0200] "GET /livraria/javax.faces.resource/logo.png.xhtml?ln=img HTTP/1.1" 304 -
10.162.114.154 - - [19/Oct/2016:09:10:50 -0200] "GET /livraria/vendas.xhtml HTTP/1.1" 200 4882
10.162.114.154 - - [19/Oct/2016:09:10:50 -0200] "GET /livraria/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
10.162.114.154 - - [19/Oct/2016:09:10:50 -0200] "GET /livraria/javax.faces.resource/fa/font-awesome.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
10.162.114.154 - - [19/Oct/2016:09:10:50 -0200] "GET /livraria/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
10.162.114.154 - - [19/Oct/2016:09:10:50 -0200] "GET /livraria/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
10.162.114.154 - - [19/Oct/2016:09:10:50 -0200] "GET /livraria/javax.faces.resource/primefaces.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
10.162.114.154 - - [19/Oct/2016:09:10:50 -0200] "GET /livraria/javax.faces.resource/primefaces.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
10.162.114.154 - - [19/Oct/2016:09:10:50 -0200] "GET /livraria/javax.faces.resource/charts/charts.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
10.162.114.154 - - [19/Oct/2016:09:10:50 -0200] "GET /livraria/javax.faces.resource/charts/charts.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
10.162.114.154 - - [19/Oct/2016:09:10:50 -0200] "GET /livraria/javax.faces.resource/logo.png.xhtml?ln=img HTTP/1.1" 304 -
10.162.114.154 - - [19/Oct/2016:09:10:51 -0200] "GET /livraria/vendas.xhtml HTTP/1.1" 200 4879
10.162.114.154 - - [19/Oct/2016:09:10:51 -0200] "GET /livraria/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
10.162.114.154 - - [19/Oct/2016:09:10:51 -0200] "GET /livraria/javax.faces.resource/fa/font-awesome.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
10.162.114.154 - - [19/Oct/2016:09:10:51 -0200] "GET /livraria/javax.faces.resource/primefaces.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
10.162.114.154 - - [19/Oct/2016:09:10:51 -0200] "GET /livraria/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
10.162.114.154 - - [19/Oct/2016:09:10:51 -0200] "GET /livraria/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
